place_id,name,address,zip,city,rating,user_ratings_total,business_status,lat,lng,types
ABRA-073781,Bowen Discount,"4510 BOWEN ROAD SE, WASHINGTON, DC 20019",20019,Washington,,,OPERATIONAL,38.87371231885,-76.934640668616,
ABRA-074429,1 West Dupont Circle Wine & Liquors,"2012 P STREET NW, WASHINGTON, DC 20036",20036,Washington,,,OPERATIONAL,38.909580916794,-77.045503628351,
ABRA-076197,Press Liquors,"525 14TH STREET NW, WASHINGTON, DC 20004",20004,Washington,,,OPERATIONAL,38.896438048117,-77.031888855863,
ABRA-076250,Capitol View Market,"4920 CENTRAL AVENUE NE, WASHINGTON, DC 20019",20019,Washington,,,OPERATIONAL,38.890447718221,-76.931929010117,
ABRA-076507,Connecticut Avenue Wine & Liquor,"1529 CONNECTICUT AVENUE NW, WASHINGTON, DC 20036",20036,Washington,,,OPERATIONAL,38.91081283668,-77.04403854103,
ABRA-078014,Tenley Wine & Liquors,"4525 WISCONSIN AVENUE NW, WASHINGTON, DC 20016",20016,Washington,,,OPERATIONAL,38.948514669969,-77.079944213676,
ABRA-078204,Skip's Liquors,"405 61ST STREET NE, WASHINGTON, DC 20019",20019,Washington,,,OPERATIONAL,38.894571993894,-76.913595627592,
ABRA-078964,Continental Wine & Liquor,"1100 VERMONT AVENUE NW, WASHINGTON, DC 20005",20005,Washington,,,OPERATIONAL,38.903810068402,-77.033113313798,
ABRA-082054,Lax Wine & Spirits,"3035 NAYLOR ROAD SE, WASHINGTON, DC 20020",20020,Washington,,,OPERATIONAL,38.854254931152,-76.965299192943,
ABRA-082981,Capitol Fine Wine & Spirits,"415 H STREET NE, WASHINGTON, DC 20002",20002,Washington,,,OPERATIONAL,38.900148917013,-77.000368272004,
ABRA-084123,Imperial Wine & Spirits,"620 12TH STREET NW, WASHINGTON, DC 20005",20005,Washington,,,OPERATIONAL,38.897577224786,-77.028162881761,
ABRA-084240,JB Liquors,"3914 14TH STREET NW, WASHINGTON, DC 20011",20011,Washington,,,OPERATIONAL,38.938873845901,-77.032803865871,
ABRA-084387,Modern Liquors,"901 M STREET NW, WASHINGTON, DC 20001",20001,Washington,,,OPERATIONAL,38.905707017186,-77.024035203714,
ABRA-084834,Harry's Reserve,"909 NEW JERSEY AVENUE SE, WASHINGTON, DC 20003",20003,Washington,,,OPERATIONAL,38.878798388309,-77.005080515081,
ABRA-084939,Lee's Mini Market,"3853 ALABAMA AVENUE SE, WASHINGTON, DC 20020",20020,Washington,,,OPERATIONAL,38.866278280689,-76.9503902748,
ABRA-085968,Cavalier Wine and Liquors,"3515 14TH STREET NW, WASHINGTON, DC 20010",20010,Washington,,,OPERATIONAL,38.935239911144,-77.032661046027,
ABRA-086022,Sherry's Wine and Spirits,"2627 CONNECTICUT AVENUE NW, WASHINGTON, DC 20008",20008,Washington,,,OPERATIONAL,38.924272697049,-77.051863387565,
ABRA-086593,Meade Wine & Liquors,"3919 SOUTH CAPITOL STREET SW, WASHINGTON, DC 20032",20032,Washington,,,OPERATIONAL,38.832579018321,-77.008370224569,
ABRA-086912,Woodward Liquors,"6111 BLAIR ROAD NW, WASHINGTON, DC 20011",20011,Washington,,,OPERATIONAL,38.963971372438,-77.011573233914,
ABRA-086950,F Street Fine Wine & Spirits,"919 F STREET NW, WASHINGTON, DC 20004",20004,Washington,,,OPERATIONAL,38.897401509859,-77.024373950965,
ABRA-087818,Kenilworth Market,"1612 KENILWORTH AVENUE NE, WASHINGTON, DC 20019",20019,Washington,,,OPERATIONAL,38.911444984653,-76.935204928687,
ABRA-087970,Batch 13,"1724 14TH STREET NW, WASHINGTON, DC 20009",20009,Washington,,,OPERATIONAL,38.913419589371,-77.032026262078,
ABRA-088025,State Liquors,"2159 P STREET NW, WASHINGTON, DC 20037",20037,Washington,,,OPERATIONAL,38.909695508271,-77.048247234102,
ABRA-088173,Victor Liquors,"6220 GEORGIA AVENUE NW, WASHINGTON, DC 20011",20011,Washington,,,OPERATIONAL,38.96523088305,-77.027759056155,
ABRA-089004,The Woodner Market,"3636 16TH STREET NW, WASHINGTON, DC 20010",20010,Washington,,,OPERATIONAL,38.936875268524,-77.03652536288,
ABRA-089498,Costco Wholesale #1120,"2441 MARKET STREET NE, WASHINGTON, DC 20018",20018,Washington,,,OPERATIONAL,38.919853833842,-76.952684141344,
ABRA-089532,University Wine & Spirit,"333 HAWAII AVENUE NE, WASHINGTON, DC 20011",20011,Washington,,,OPERATIONAL,38.942151251802,-77.000899541824,
ABRA-090270,LUCKY 7 LIQUOR,"2314 RHODE ISLAND AVENUE NE, WASHINGTON, DC 20018",20018,Washington,,,OPERATIONAL,38.930772304952,-76.972877886818,
ABRA-090659,Le Liquors,"1776 COLUMBIA ROAD NW, WASHINGTON, DC 20009",20009,Washington,,,OPERATIONAL,38.9235127539,-77.041306645344,
ABRA-091195,Magruder's of DC,"5618 CONNECTICUT AVENUE NW, Washington, DC 20015",20015,Washington,,,OPERATIONAL,38.965435456807,-77.075963971766,
ABRA-091423,Fort Carroll Market,"3705 MARTIN LUTHER KING JR AVENUE SE, WASHINGTON, DC 20032",20032,Washington,,,OPERATIONAL,38.837904916291,-77.006195890023,
ABRA-092840,Eye Street Cellars,"425 I STREET NW, WASHINGTON, DC 20001",20001,Washington,,,OPERATIONAL,38.901379508782,-77.017010193478,
ABRA-093813,Towne Wine & Liquor,"1438 WISCONSIN AVENUE NW, WASHINGTON, DC 20007",20007,Washington,,,OPERATIONAL,38.908492759266,-77.063992976295,
ABRA-094621,Bodega Market,"1136 FLORIDA AVENUE NE, WASHINGTON, DC 20002",20002,Washington,,,OPERATIONAL,38.903160318786,-76.990991178558,
ABRA-094776,Texas Grocery Store,"4350 TEXAS AVENUE SE, WASHINGTON, DC 20019",20019,Washington,,,OPERATIONAL,38.88279623807,-76.942251487111,
ABRA-095032,Edgewood International Wine and Spirits,"2303 4TH STREET NE, WASHINGTON, DC 20002",20002,Washington,,,OPERATIONAL,38.920306424821,-77.000497199958,
ABRA-095751,Lee's Liquor,"2329 PENNSYLVANIA AVENUE SE, WASHINGTON, DC 20020",20020,Washington,,,OPERATIONAL,38.874133654243,-76.972489374151,
ABRA-095984,Bell Wine & Liquor,"1821 M STREET NW, WASHINGTON, DC 20036",20036,Washington,,,OPERATIONAL,38.905710566671,-77.042088294942,
ABRA-096105,Peacock Liquors,"1625 NEW YORK AVENUE NE, WASHINGTON, DC 20002",20002,Washington,,,OPERATIONAL,38.9171622,-76.9811777,
ABRA-096628,Ocean Front Liquors,"4682 MARTIN LUTHER KING JR AVENUE SW, WASHINGTON, DC 20032",20032,Washington,,,OPERATIONAL,38.822428974895,-77.01130816628,
ABRA-096780,Wide World Of Wines,"2201 WISCONSIN AVENUE NW, WASHINGTON, DC 20007",20007,Washington,,,OPERATIONAL,38.919179860802,-77.070536190666,
ABRA-097197,Market Of Columbia Plaza,"516 23RD STREET NW, WASHINGTON, DC 20037",20037,Washington,,,OPERATIONAL,38.896239159687,-77.050191818888,
ABRA-097252,S & R Liquors,"1015 18TH STREET NW, WASHINGTON, DC 20036",20036,Washington,,,OPERATIONAL,38.90274204741,-77.041612906061,
ABRA-097473,Montana Liquors,"710 H STREET NE, WASHINGTON, DC 20002",20002,Washington,,,OPERATIONAL,38.900263508224,-76.995986059316,
ABRA-097605,Dennies Liquors,"5000 BENNING ROAD SE, WASHINGTON, DC 20019",20019,Washington,,,OPERATIONAL,38.878622276235,-76.931487267133,
ABRA-097671,Grand Cata,"1550 7TH STREET NW, WASHINGTON, DC 20001",20001,Washington,,,OPERATIONAL,38.910398900417,-77.021991519295,
ABRA-097707,Safeway,"415 14TH STREET SE, WASHINGTON, DC 20003",20003,Washington,,,OPERATIONAL,38.88388299437,-76.985594327138,
ABRA-097883,"Hop, Cask, & Barrel","1717 WISCONSIN AVENUE NW, WASHINGTON, DC 20007",20007,Washington,,,OPERATIONAL,38.913942650565,-77.066717957025,
ABRA-098506,Franklin Liquors & Market,"2723 7TH STREET NE, WASHINGTON, DC 20017",20017,Washington,,,OPERATIONAL,38.925244021536,-76.996098568101,
